"Time","Proteinpulver","Kreatin","Whey Protein","Vitamin D","Omega 3"
"2026-04-18",34,46,26,80,69
"2026-04-19",42,53,35,83,79
"2026-04-20",36,54,28,86,75
"2026-04-21",38,56,30,97,75
"2026-04-22",43,53,30,96,78
"2026-04-23",33,50,31,97,76
"2026-04-24",30,46,29,83,67
"2026-04-25",35,63,29,81,69
"2026-04-26",39,60,32,74,72
"2026-04-27",41,52,32,89,77
"2026-04-28",35,48,27,88,70
"2026-04-29",41,51,28,79,74
"2026-04-30",28,48,22,89,65
"2026-05-01",28,43,26,79,58
"2026-05-02",28,43,27,62,58
"2026-05-03",37,48,25,55,61
"2026-05-04",41,49,23,84,65
"2026-05-05",39,47,25,100,66
"2026-05-06",38,48,22,73,66
"2026-05-07",31,47,21,79,68
"2026-05-08",31,42,19,71,60
"2026-05-09",29,42,20,59,54
"2026-05-10",32,44,21,54,59
"2026-05-11",32,45,23,77,68
"2026-05-12",35,49,24,78,71
"2026-05-13",30,42,20,69,64
"2026-05-14",31,39,21,59,67
"2026-05-15",33,39,21,59,61
"2026-05-16",30,40,20,50,55
"2026-05-17",35,38,20,48,58
